,race_id,office,loc_date_id,state,abbrev,year,GOP_win,winner,rival,pred_GOP,pred_DEM,unopposed,inc_GOP_running,inc_DEM_running,prez_GOP,approval_effects_GOP,approval_effects_DEM,nat_UR_effects_GOP,nat_UR_effects_DEM,state_UR_effects_GOP,state_UR_effects_DEM,total_male,total_female,age_under18,age_18to29,age_30to59,age_60over,race_white_nh,race_black,race_natamer,race_asian,race_hispanic,percent_male,percent_female,percent_under18,percent_age_18to29,percent_age_30to59,percent_age_60over,percent_race_white,percent_race_black,percent_race_natamer,percent_race_asian,percent_race_hispanic
14,ME_sen_1978,ME_sen,ME_1978,Maine,ME,1978,1,William Cohen,William Hathaway,0,1,0,0,1,0.0,0.0,13.0,0.0,5.8,0.0,6.3,533561,564577,325879,220745,366105,185408,1082946,3265,3931,2814,4491,0.485877913,0.5141220870000001,0.296755963,0.20101754100000002,0.33338706100000004,0.168838525,0.986165673,0.002973215,0.003579696,0.002562519,0.00408965
15,MI_sen_1978,MI_sen,MI_1978,Michigan,MI,1978,0,Carl Levin,Robert P  Griffin,1,0,0,1,0,0.0,0.0,13.0,0.0,5.8,0.0,7.0,4482681,4701998,2851863,1976825,3093638,1262354,7721151,1155955,39306,56851,160166,0.488060715,0.511939285,0.310502196,0.215230712,0.336825925,0.137441276,0.8406555090000001,0.125856875,0.0042795179999999995,0.006189764,0.017438388
16,MN_sen_1978,MN_sen,MN_1978,Minnesota,MN,1978,1,Rudy Boschwitz,Wendell Anderson,0,1,0,0,1,0.0,0.0,13.0,0.0,5.8,0.0,3.8,1971023,2050747,1213744,874126,1300864,633036,3867678,48834,34010,27968,33150,0.490088444,0.509911556,0.30179348899999997,0.21734858,0.323455593,0.157402338,0.961685527,0.012142415,0.008456476,0.006954152,0.008242639
17,MN_sen2_1978,MN_sen,MN_1978,Minnesota,MN,1978,1,David Durenberger,Bob Short,0,1,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,3.8,1971023,2050747,1213744,874126,1300864,633036,3867678,48834,34010,27968,33150,0.490088444,0.509911556,0.30179348899999997,0.21734858,0.323455593,0.157402338,0.961685527,0.012142415,0.008456476,0.006954152,0.008242639
18,MS_sen_1978,MS_sen,MS_1978,Mississippi,MS,1978,1,Thad Cochran,Maurice Dantin,0,1,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,6.7,1185946,1273947,820111,506834,1300864,378484,1548214,872843,6354,6948,22948,0.48211284,0.51788716,0.333392957,0.206039043,0.528829506,0.15386197699999998,0.62938266,0.354829661,0.002583039,0.002824513,0.009328860999999999
19,MT_sen_1978,MT_sen,MT_1978,Montana,MT,1978,0,Max Baucus,Larry Williams,0,1,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,5.3,383501,384733,236141,164169,253097,114826,716081,1789,35586,2926,9248,0.49919816100000003,0.500801839,0.307381605,0.213696608,0.329453005,0.14946748,0.932113132,0.002328718,0.046321824000000004,0.003808735,0.012037998999999999
20,NC_sen_1978,NC_sen,NC_1978,North_Carolina,NC,1978,1,Jesse Helms,John Ingram,1,0,0,1,0,0.0,0.0,13.0,0.0,5.8,0.0,4.3,2781981,2939843,1677996,1264518,1969928,809382,4294793,1280539,61649,20402,54016,0.486205273,0.5137947270000001,0.293262428,0.220999108,0.34428322200000006,0.14145524199999998,0.750598585,0.22379908899999998,0.010774361000000001,0.0035656459999999996,0.009440346
21,NE_sen_1978,NE_sen,NE_1978,Nebraska,NE,1978,0,J  James Exon,Donald Shasteen,1,0,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,2.8,757606,794952,459234,328373,496303,268649,1453779,46339,8642,7370,26570,0.487972752,0.512027248,0.295791848,0.211504498,0.31966792899999996,0.17303637,0.936376612,0.029846872000000003,0.005566298000000001,0.004747005,0.017113692
22,NH_sen_1978,NH_sen,NH_1978,New_Hampshire,NH,1978,1,Gordon J  Humphrey,Thomas J  McIntyre,0,1,0,0,1,0.0,0.0,13.0,0.0,5.8,0.0,3.5,430904,453120,257308,186904,303643,136170,870136,3960,1180,3033,4926,0.48743473,0.51256527,0.291064496,0.211424124,0.343478231,0.15403428,0.984290019,0.004479515999999999,0.001334805,0.003430902,0.005572247
23,NJ_sen_1978,NJ_sen,NJ_1978,New_Jersey,NJ,1978,0,Bill Bradley,Jeffrey Bell,1,0,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,7.0,3519884,3805607,2069658,1395401,2676280,1184152,5742644,893986,9101,96158,451204,0.480498031,0.519501969,0.28252822899999996,0.190485662,0.36533796799999996,0.161648141,0.7839261559999999,0.12203769,0.0012423739999999999,0.013126492,0.061593687
24,NM_sen_1978,NM_sen,NM_1978,New_Mexico,NM,1978,1,Pete Domenici,Toney Anaya,1,0,0,1,0,0.0,0.0,13.0,0.0,5.8,0.0,6.0,613890,631625,415569,271993,405193,152760,532243,22368,99958,7751,443446,0.492880455,0.507119545,0.333652345,0.21837794,0.32532165399999996,0.122648061,0.427327652,0.017958836000000002,0.080254353,0.006223129,0.356034251
25,OK_sen_1978,OK_sen,OK_1978,Oklahoma,OK,1978,0,David L  Boren,Robert B  Kamm,1,0,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,3.3,1430635,1501443,851256,616438,974525,489859,2482331,198226,156673,17513,56192,0.48792528700000004,0.512074713,0.290325155,0.21023929100000002,0.33236667,0.167068884,0.846611516,0.067605978,0.053434117,0.005972897,0.019164565
26,OR_sen_1978,OR_sen,OR_1978,Oregon,OR,1978,1,Mark Hatfield,Vernon Cook,1,0,0,1,0,0.0,0.0,13.0,0.0,5.8,0.0,6.6,1242043,1282718,717982,542660,863057,401062,2346389,35225,27077,36664,57145,0.491944782,0.508055218,0.284376224,0.21493519600000002,0.341837109,0.158851471,0.929350937,0.013951816,0.010724579,0.014521771000000001,0.022633826
27,RI_sen_1978,RI_sen,RI_1978,Rhode_Island,RI,1978,0,Claiborne Pell,James G  Reynolds,0,1,0,0,1,0.0,0.0,13.0,0.0,5.8,0.0,6.2,453859,493209,254287,201182,321068,170531,885995,26956,2841,6342,17283,0.479225357,0.520774643,0.2684992,0.21242614,0.339012616,0.18006204399999998,0.9355136059999999,0.028462581,0.002999785,0.006696456999999999,0.018248953999999998
28,SC_sen_1978,SC_sen,SC_1978,South_Carolina,SC,1978,1,Strom Thurmond,Charles D  Ravenel,1,0,0,1,0,0.0,0.0,13.0,0.0,5.8,0.0,5.5,1468828,1546731,944605,681691,999093,390170,2047583,916183,5843,11657,29563,0.48708315799999996,0.512916842,0.313243747,0.226057922,0.331312702,0.12938563,0.679006115,0.303818629,0.001937618,0.003865618,0.009803489
29,SD_sen_1978,SD_sen,SD_1978,South_Dakota,SD,1978,1,Larry Pressler,Don Barnett,0,1,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,3.2,338553,347163,212669,143834,209614,119598,634135,2047,42931,1770,3804,0.493721891,0.506278109,0.310141516,0.209757392,0.305686319,0.17441331399999999,0.9247778959999999,0.002985201,0.062607552,0.002581244,0.005547486
30,TN_sen_1978,TN_sen,TN_1978,Tennessee,TN,1978,1,Howard Baker,Jane Eskind,1,0,0,1,0,0.0,0.0,13.0,0.0,5.8,0.0,5.9,2152815,2304819,1303993,938010,1530439,685191,3691982,704099,6083,13446,37178,0.48295014799999997,0.517049852,0.292530297,0.21042777399999998,0.343329892,0.153711812,0.8282380290000001,0.157953524,0.001364625,0.003016398,0.008340299
31,TX_sen_1978,TX_sen,TX_1978,Texas,TX,1978,1,John Tower,Bob Krueger,1,0,0,1,0,0.0,0.0,13.0,0.0,5.8,0.0,4.7,6695212,6927487,4244852,3058586,4509424,1809838,8229080,1643594,44241,120070,2756789,0.491474707,0.5085252929999999,0.311601394,0.224521293,0.331022802,0.132854583,0.60407119,0.12065112800000001,0.0032475940000000003,0.008813966,0.202367314
32,VA_sen_1978,VA_sen,VA_1978,Virginia,VA,1978,1,John Warner,Andrew P  Miller,1,0,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,5.2,2554072,2653081,1497323,1165542,1855581,688707,4069440,979206,9026,60607,71939,0.490492981,0.509507019,0.287551182,0.22383479,0.35635231,0.132261718,0.781509589,0.188050169,0.001733385,0.011639182,0.013815418999999999
33,WV_sen_1978,WV_sen,WV_1978,West_Virginia,WV,1978,0,Jennings Randolph,Arch A,0,1,0,0,1,0.0,0.0,13.0,0.0,5.8,0.0,6.3,925260,983302,563756,381822,642729,320256,1822468,65501,2036,5254,11922,0.48479431100000003,0.515205689,0.29538259699999997,0.200057425,0.33676087,0.167799631,0.954890645,0.034319556,0.001066772,0.002752858,0.006246588000000001
34,WY_sen_1978,WY_sen,WY_1978,Wyoming,WY,1978,1,Alan K  Simpson,Raymond B  Whitaker,1,0,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,3.1,225803,216326,140447,106297,144416,50969,399418,3130,7609,2004,22378,0.51071746,0.48928254,0.317660683,0.240420782,0.326637701,0.115280834,0.903396972,0.0070793819999999995,0.017209909,0.004532614,0.050614187000000005
35,AK_sen_1984,AK_sen,AK_1984,Alaska,AK,1984,1,Ted Stevens,John E  Havelock,1,0,0,1,0,1.0,22.0,0.0,7.4,0.0,9.5,0.0,243771,217356,147385,108726,179125,25892,340553,17229,72893,15549,12825,0.528641784,0.471358216,0.319619107,0.23578320100000003,0.38845047,0.05614939099999999,0.7385232270000001,0.037362809,0.158075758,0.033719561,0.027812295
