year,state,abbrev,combo1,combo2,total_population,total_male,total_female,age_under18,age_18to29,age_30to59,age_60over,race_white_nh,race_black,race_natamer,race_asian,race_hispanic,percent_male,percent_female,percent_under18,percent_age_18to29,percent_age_30to59,percent_age_60over,percent_race_white,percent_race_black,percent_race_natamer,percent_race_asian,percent_race_hispanic
1970,Alabama,AL,Alabama_1970,AL_1970,3444165,1661941,1782224,1233520,619880,1115478,475287,2494983,903467,2443,4424,38848,0.482538148,0.517461852,0.358147766,0.179979763,0.323874727,0.137997744,0.724408674,0.262318153,0.000709316,0.001284491,0.011279367
1971,Alabama,AL,Alabama_1971,AL_1971,3489137,1682900,1806237,1226393,640938,1133137,488670,2529484,912749,3129,5048,38293,0.482325572,0.517674428,0.351488921,0.183695281,0.324761395,0.14005469,0.724959782,0.261597352,0.000896783,0.001446776,0.01097492
1972,Alabama,AL,Alabama_1972,AL_1972,3534110,1703860,1830250,1219266,661997,1150795,502052,2563985,922030,3815,5671,37738,0.482118553,0.517881447,0.344999448,0.187316467,0.325625122,0.142058963,0.72549666,0.260894539,0.00107948,0.001604647,0.010678219
1973,Alabama,AL,Alabama_1973,AL_1973,3579082,1724819,1854263,1212138,683055,1168454,515435,2598485,931312,4501,6295,37183,0.481916592,0.518083408,0.338672878,0.190846424,0.326467513,0.144013186,0.726019968,0.260209741,0.001257585,0.001758831,0.010388977
1974,Alabama,AL,Alabama_1974,AL_1974,3624054,1745778,1878276,1205011,704113,1186112,528818,2632986,940593,5187,6918,36628,0.481719643,0.518280357,0.3325036,0.194288772,0.327288721,0.145918907,0.726530565,0.259541662,0.00143127,0.001908912,0.010106913
1975,Alabama,AL,Alabama_1975,AL_1975,3669027,1766738,1902289,1197884,725172,1203771,542201,2667486,949875,5874,7542,36074,0.481527664,0.518472336,0.326485469,0.197646951,0.328089981,0.147777871,0.727028174,0.258890164,0.001600969,0.002055586,0.009832034
1976,Alabama,AL,Alabama_1976,AL_1976,3713999,1787697,1926302,1190757,746230,1221429,555583,2701987,959157,6560,8166,35519,0.481340194,0.518659806,0.320613172,0.200923587,0.328871656,0.149591586,0.727514197,0.258254512,0.00176629,0.002198708,0.009563546
1977,Alabama,AL,Alabama_1977,AL_1977,3758971,1808656,1950315,1183630,767288,1239088,568966,2736488,968438,7246,8789,34964,0.48115721,0.51884279,0.314881386,0.20412182,0.329634892,0.151362168,0.72798859,0.257633805,0.001927655,0.00233814,0.009301482
1978,Alabama,AL,Alabama_1978,AL_1978,3803943,1829615,1974328,1176502,788346,1256746,582349,2770988,977720,7932,9413,34409,0.480978553,0.519021447,0.309284866,0.20724443,0.330379819,0.153090885,0.728451504,0.257028036,0.002085205,0.002474538,0.009045614
1979,Alabama,AL,Alabama_1979,AL_1979,3848916,1850575,1998341,1169375,809405,1274405,595731,2805489,987001,8618,10036,33854,0.480804206,0.519195794,0.303819309,0.210294275,0.331107512,0.154778904,0.728903671,0.256436098,0.002239072,0.002607487,0.008795723
1980,Alabama,AL,Alabama_1980,AL_1980,3893888,1871534,2022354,1162248,830463,1292063,609114,2839990,996283,9304,10660,33299,0.480633752,0.519366248,0.29848008,0.213273469,0.331818224,0.156428228,0.72934558,0.255858155,0.002389386,0.002737624,0.008551607
1981,Alabama,AL,Alabama_1981,AL_1981,3908558,1877997,2030561,1151902,823706,1314417,618533,2851108,998725,10024,12352,32432,0.480483339,0.519516661,0.294712782,0.210744218,0.336292055,0.158250946,0.729452652,0.255522625,0.002564629,0.003160245,0.008297689
1982,Alabama,AL,Alabama_1982,AL_1982,3923228,1884460,2038768,1141556,816950,1336771,627951,2862226,1001167,10744,14044,31565,0.480334051,0.519665949,0.290973657,0.208234138,0.340732427,0.160059777,0.729558924,0.255189604,0.002738561,0.003579705,0.008045671
1983,Alabama,AL,Alabama_1983,AL_1983,3937897,1890922,2046975,1131210,810193,1359125,637370,2873343,1003610,11465,15736,30698,0.480185744,0.519814256,0.287262465,0.205742558,0.345139804,0.161855427,0.729664336,0.254859383,0.002911452,0.003996042,0.007795531
1984,Alabama,AL,Alabama_1984,AL_1984,3952567,1897385,2055182,1120864,803437,1381479,646788,2884461,1006052,12185,17428,29831,0.480038669,0.519961331,0.283578748,0.203269673,0.349514379,0.163637454,0.729769034,0.254531296,0.003082807,0.004409286,0.007547247
1985,Alabama,AL,Alabama_1985,AL_1985,3967238,1903848,2063390,1110518,796680,1403833,656207,2895579,1008494,12905,19120,28964,0.47989256,0.52010744,0.279922203,0.200814773,0.353856512,0.165406512,0.729872773,0.254205571,0.003252893,0.004819474,0.007300797
1986,Alabama,AL,Alabama_1986,AL_1986,3981908,1910311,2071597,1100172,789923,1426187,665625,2906697,1010936,13625,20811,28097,0.479747649,0.520252351,0.276292672,0.198378014,0.358166738,0.167162325,0.729975931,0.25388231,0.003421726,0.005226389,0.007056165
1987,Alabama,AL,Alabama_1987,AL_1987,3996578,1916774,2079804,1089826,783167,1448541,675044,2917815,1013378,14345,22503,27230,0.479603801,0.520396199,0.272689786,0.195959393,0.362445322,0.168905499,0.730078332,0.253561422,0.003589321,0.005630567,0.006813329
1988,Alabama,AL,Alabama_1988,AL_1988,4011247,1923236,2088011,1079480,776410,1470895,684462,2928932,1015821,15066,24195,26363,0.479460876,0.520539124,0.269113321,0.193558263,0.366692702,0.170635715,0.730179917,0.253243193,0.003755939,0.00603179,0.00657227
1989,Alabama,AL,Alabama_1989,AL_1989,4025917,1929699,2096218,1069134,769654,1493249,693881,2940050,1018263,15786,25887,25496,0.479319122,0.520680878,0.265562852,0.19117483,0.370909038,0.172353528,0.730280828,0.252926973,0.003921094,0.006430088,0.006332967
1990,Alabama,AL,Alabama_1990,AL_1990,4040587,1936162,2104425,1058788,762897,1515603,703299,2951168,1020705,16506,27579,24629,0.479178397,0.520821603,0.262038164,0.188808458,0.375094757,0.174058621,0.730381007,0.252613049,0.00408505,0.006825493,0.006095401
1991,Alabama,AL,Alabama_1991,AL_1991,4081238,1957196,2124042,1065251,760688,1545342,709957,2964749,1034228,17098,30996,29749,0.479559389,0.520440611,0.261011732,0.186386582,0.378645401,0.173956285,0.726433744,0.253410362,0.004189415,0.007594754,0.00728921
1992,Alabama,AL,Alabama_1992,AL_1992,4121889,1978230,2143659,1071715,758479,1575080,716615,2978330,1047750,17691,34414,34869,0.479932866,0.520067134,0.260005789,0.184012476,0.382125768,0.173855967,0.722564339,0.254191707,0.004291964,0.008349085,0.008459471
1993,Alabama,AL,Alabama_1993,AL_1993,4162541,1999265,2163276,1078178,756270,1604819,723273,2991911,1061273,18283,37831,39989,0.480299173,0.519700827,0.25901919,0.181684697,0.385538305,0.173757568,0.718770338,0.254957969,0.004392269,0.009088439,0.009606872
1994,Alabama,AL,Alabama_1994,AL_1994,4203192,2020299,2182893,1084642,754061,1634558,729931,3005492,1074795,18876,41249,45109,0.480658271,0.519341729,0.258051976,0.179401988,0.388884924,0.173661113,0.715049895,0.255709232,0.004490873,0.009813732,0.010732082
1995,Alabama,AL,Alabama_1995,AL_1995,4243844,2041333,2202511,1091105,751853,1664297,736590,3019073,1088318,19468,44666,50230,0.481010376,0.518989624,0.257102994,0.177163204,0.392167337,0.1735667,0.71140056,0.256446278,0.004587351,0.010524892,0.011835968
1996,Alabama,AL,Alabama_1996,AL_1996,4284495,2062367,2222128,1097568,749644,1694035,743248,3032654,1101840,20060,48083,55350,0.481355912,0.518644088,0.256172081,0.174966711,0.395387321,0.173473887,0.707820642,0.257169165,0.004681999,0.011222559,0.012918675
1997,Alabama,AL,Alabama_1997,AL_1997,4325146,2083401,2241745,1104032,747435,1723774,749906,3046235,1115363,20653,51501,60470,0.481694953,0.518305047,0.255258898,0.172811507,0.398547009,0.173382818,0.704308016,0.257878694,0.004775099,0.011907344,0.013981031
1998,Alabama,AL,Alabama_1998,AL_1998,4365798,2104436,2261362,1110495,745226,1753513,756564,3059816,1128885,21245,54918,65590,0.482027799,0.517972201,0.254362433,0.1706964,0.401647763,0.173293405,0.700860644,0.258574721,0.004866235,0.012579144,0.015023599
1999,Alabama,AL,Alabama_1999,AL_1999,4406449,2125470,2280979,1116959,743017,1783251,763222,3073397,1142408,21838,58336,70710,0.482354386,0.517645614,0.253482793,0.168620356,0.40469117,0.173205681,0.697477039,0.259258192,0.004955918,0.013238778,0.016046935
2000,Alabama,AL,Alabama_2000,AL_2000,4447100,2146504,2300596,1123422,740808,1812990,769880,3086978,1155930,22430,61753,75830,0.482675002,0.517324998,0.25261901,0.166582267,0.407679162,0.173119561,0.694155292,0.259928942,0.005043736,0.013886128,0.017051562
2001,Alabama,AL,Alabama_2001,AL_2001,4480363,2163872,2316491,1124326,745748,1873238,786284,3087260,1165468,23009,70934,86807,0.48296801,0.51703199,0.250945292,0.16644812,0.418099605,0.175495602,0.689064703,0.26012803,0.005135521,0.015832199,0.019374993
2002,Alabama,AL,Alabama_2002,AL_2002,4513627,2181241,2332386,1125229,750688,1933486,802688,3087541,1175006,23588,80115,97784,0.483256813,0.516743187,0.249295965,0.166315914,0.428366367,0.177836582,0.684048771,0.260324125,0.005225952,0.017749584,0.021664174
2003,Alabama,AL,Alabama_2003,AL_2003,4546891,2198609,2348282,1126133,755628,1993734,819092,3087822,1184544,24166,89296,108762,0.483541171,0.516458829,0.247670991,0.166185642,0.438482911,0.180143311,0.679106229,0.260517351,0.00531484,0.019638914,0.023920081
2004,Alabama,AL,Alabama_2004,AL_2004,4580155,2215978,2364177,1127037,760568,2053982,835496,3088103,1194082,24745,98477,119739,0.483821617,0.516178383,0.24606962,0.166057262,0.448452509,0.182416534,0.674235479,0.260707771,0.005402656,0.021500801,0.026143002
2005,Alabama,AL,Alabama_2005,AL_2005,4613418,2233346,2380072,1127941,765509,2114230,851900,3088385,1203621,25324,107658,130716,0.484097907,0.515902093,0.244491394,0.165930987,0.458278439,0.184657016,0.66943533,0.260895718,0.005489206,0.023335843,0.028333873
2006,Alabama,AL,Alabama_2006,AL_2006,4646681,2250714,2395967,1128844,770449,2174478,868303,3088667,1213159,25903,116838,141693,0.484370242,0.515629758,0.242935549,0.165806303,0.467963693,0.186865206,0.664703904,0.261080759,0.005574517,0.025144399,0.030493378
2007,Alabama,AL,Alabama_2007,AL_2007,4679945,2268083,2411862,1129748,775389,2234726,884707,3088948,1222697,26482,126019,152670,0.484638815,0.515361185,0.241401982,0.165683357,0.477511167,0.189042179,0.660039381,0.261263113,0.005658614,0.026927453,0.032622178
2008,Alabama,AL,Alabama_2008,AL_2008,4713209,2285451,2427758,1130652,780329,2294974,901111,3089229,1232235,27060,135200,163648,0.484903385,0.515096615,0.239890062,0.165562147,0.486923877,0.191188424,0.655440699,0.261442894,0.005741311,0.028685339,0.034721142
2009,Alabama,AL,Alabama_2009,AL_2009,4746473,2302820,2443653,1131555,785269,2355222,917515,3089510,1241773,27639,144381,174625,0.485164458,0.514835542,0.238399123,0.165442635,0.496204656,0.193304586,0.650906473,0.261620155,0.005823061,0.030418587,0.036790476
2010,Alabama,AL,Alabama_2010,AL_2010,4779736,2320188,2459548,1132459,790209,2415470,933919,3089792,1251311,28218,153562,185602,0.485421789,0.514578211,0.236929194,0.165324821,0.505356363,0.195391335,0.646435703,0.261795003,0.005903673,0.032127716,0.038831015
2011,Alabama,AL,Alabama_2011,AL_2011,4812999,2337556,2475443,1133363,795149,2475718,950323,3090074,1260849,28797,162743,196579,0.485675563,0.514324437,0.235479584,0.165208636,0.514381574,0.197449241,0.642026728,0.261967434,0.005983172,0.033813221,0.040843349
2012,Alabama,AL,Alabama_2012,AL_2012,4846263,2354925,2491338,1134266,800089,2535966,966727,3090355,1270387,29376,171924,207556,0.48592596,0.51407404,0.234049617,0.165094012,0.523282785,0.199478856,0.637677939,0.262137445,0.006061578,0.035475582,0.042828051
2013,Alabama,AL,Alabama_2013,AL_2013,4879527,2372293,2507234,1135170,805029,2596214,983131,3090636,1279925,29954,181105,218534,0.486172738,0.513827262,0.232639352,0.16498095,0.532062636,0.201480799,0.633388441,0.262305137,0.00613871,0.037115278,0.044785898
2014,Alabama,AL,Alabama_2014,AL_2014,4912791,2389662,2523129,1136074,809969,2656462,999535,3090917,1289463,30533,190286,229511,0.486416377,0.513583623,0.231248185,0.164869419,0.540723593,0.203455632,0.629157031,0.262470559,0.006215001,0.038732769,0.046717029
2015,Alabama,AL,Alabama_2015,AL_2015,4946054,2407030,2539024,1136978,814910,2716710,1015939,3091199,1299002,31112,199467,240488,0.486656636,0.513343364,0.229875776,0.164759625,0.549268164,0.205403944,0.624982865,0.262634011,0.006290267,0.040328512,0.048622195
2016,Alabama,AL,Alabama_2016,AL_2016,4979317,2424398,2554919,1137881,819850,2776958,1032342,3091481,1308540,31691,208647,251465,0.486893684,0.513106316,0.228521502,0.164651096,0.557698576,0.207326025,0.620864468,0.262795078,0.006364528,0.041902735,0.050501906
2017,Alabama,AL,Alabama_2017,AL_2017,5012581,2441767,2570814,1138785,824790,2837206,1048746,3091762,1318078,32270,217828,262442,0.487127689,0.512872311,0.227185356,0.164543974,0.566016988,0.209222754,0.616800407,0.262953955,0.006437801,0.043456255,0.05235666
2018,Alabama,AL,Alabama_2018,AL_2018,5045845,2459135,2586710,1139689,829730,2897454,1065150,3092043,1327616,32848,227009,273420,0.487358411,0.512641589,0.225866827,0.164438266,0.574225724,0.211094475,0.612789929,0.263110738,0.006509911,0.044989293,0.054187158
1970,Alaska,AK,Alaska_1970,AK_1970,300382,163258,137124,119859,72228,96098,12197,232169,8911,16276,38428,4598,0.543501275,0.456498725,0.399021912,0.240453822,0.319919303,0.040604963,0.772912491,0.029665559,0.054184339,0.127930435,0.015307176
1971,Alaska,AK,Alaska_1971,AK_1971,310529,168236,142293,120948,75847,100793,12942,239198,9395,21084,35417,5089,0.541772266,0.458227734,0.389490193,0.24425094,0.324584821,0.041677267,0.770291986,0.030254823,0.06789704,0.11405376,0.016388163
1972,Alaska,AK,Alaska_1972,AK_1972,320676,173215,147461,122036,79466,105487,13686,246227,9878,25892,32405,5580,0.540155796,0.459844204,0.38055857,0.247807756,0.328951964,0.042678591,0.767837319,0.030803677,0.080741933,0.101052152,0.017400741
1973,Alaska,AK,Alaska_1973,AK_1973,330823,178193,152630,123125,83085,110182,14431,253256,10362,30700,29394,6071,0.538635464,0.461364536,0.372177872,0.251146383,0.333054231,0.043621514,0.765533231,0.031321885,0.092798868,0.088851138,0.018351203
1974,Alaska,AK,Alaska_1974,AK_1974,340969,183171,157798,124213,86704,114877,15175,260285,10846,35508,26382,6562,0.537207195,0.462792805,0.364294115,0.254287047,0.336913326,0.044505512,0.763368517,0.031809343,0.104138499,0.077373603,0.019245151
1975,Alaska,AK,Alaska_1975,AK_1975,351117,188150,162967,125302,90323,119572,15920,267315,11330,40317,23371,7053,0.535861266,0.464138734,0.356866799,0.257244736,0.340547453,0.045341012,0.761327421,0.032268446,0.114824973,0.066561858,0.020087321
1976,Alaska,AK,Alaska_1976,AK_1976,361264,193128,168136,126391,93942,124266,16665,274345,11813,45125,20360,7543,0.534589663,0.465410337,0.349857722,0.260036981,0.343975597,0.0461297,0.759403096,0.032699079,0.124908654,0.056357677,0.020879468
1977,Alaska,AK,Alaska_1977,AK_1977,371410,198106,173304,127479,97561,128961,17409,281374,12297,49933,17348,8034,0.533388977,0.466611023,0.343229854,0.262677365,0.347220053,0.046872728,0.757583264,0.033108963,0.134441722,0.046708489,0.021631082
1978,Alaska,AK,Alaska_1978,AK_1978,381557,203084,178473,128568,101180,133656,18154,288403,12781,54741,14337,8525,0.532250752,0.467749248,0.336956208,0.265176632,0.350291044,0.047578737,0.755858234,0.033496961,0.143467424,0.037574989,0.022342664
1979,Alaska,AK,Alaska_1979,AK_1979,391704,208063,183641,129656,104799,138350,18898,295432,13264,59549,11325,9016,0.53117405,0.46882595,0.331005045,0.267546413,0.353200376,0.048245614,0.754222576,0.033862304,0.152025509,0.028912138,0.02301738
1980,Alaska,AK,Alaska_1980,AK_1980,401851,213041,188810,130745,108418,143045,19643,302461,13748,64357,8314,9507,0.530149234,0.469850766,0.325356911,0.269796517,0.355965271,0.048881302,0.752669522,0.034211685,0.160151399,0.02068926,0.023658023
1981,Alaska,AK,Alaska_1981,AK_1981,416671,220724,195947,134905,108495,152065,21205,311983,14618,66491,10123,10337,0.529732091,0.470267909,0.323768633,0.260385292,0.364952204,0.050891471,0.748751413,0.035082835,0.15957674,0.024294947,0.024808542
1982,Alaska,AK,Alaska_1982,AK_1982,431489,228406,203083,139065,108572,161085,22768,321507,15489,68625,11932,11166,0.529343738,0.470656262,0.322290951,0.25162171,0.373323538,0.052766119,0.745110536,0.035896628,0.159042293,0.02765308,0.025877832
1983,Alaska,AK,Alaska_1983,AK_1983,446309,236089,210220,143225,108649,170105,24330,331029,16359,70759,13740,11996,0.528981042,0.471018958,0.320909953,0.243438963,0.381137284,0.054513801,0.741703618,0.036653977,0.158542624,0.030785846,0.026878239
1984,Alaska,AK,Alaska_1984,AK_1984,461127,243771,217356,147385,108726,179125,25892,340553,17229,72893,15549,12825,0.528641784,0.471358216,0.319619107,0.235783201,0.38845047,0.056149391,0.738523227,0.037362809,0.158075758,0.033719561,0.027812295
1985,Alaska,AK,Alaska_1985,AK_1985,475947,251454,224493,151545,108803,188145,27455,350075,18100,75028,17358,13655,0.528323532,0.471676468,0.318407302,0.228603185,0.39530662,0.057684994,0.735533578,0.038029444,0.157639401,0.036470447,0.028690169
1986,Alaska,AK,Alaska_1986,AK_1986,490767,259137,231630,155704,108880,197165,29017,359597,18970,77162,19167,14485,0.5280245,0.4719755,0.317266646,0.221856808,0.401748691,0.059125817,0.73272449,0.038653781,0.15722736,0.039055193,0.029515024
1987,Alaska,AK,Alaska_1987,AK_1987,505585,266819,238766,159864,108957,206185,30579,369121,19840,79296,20976,15314,0.527743109,0.472256891,0.31619609,0.215506789,0.40781471,0.060482411,0.730086929,0.039241671,0.156840096,0.041488573,0.030289664
1988,Alaska,AK,Alaska_1988,AK_1988,520405,274502,245903,164024,109034,215205,32141,378643,20710,81430,22784,16144,0.527477638,0.472522362,0.315185288,0.209517587,0.41353369,0.061761513,0.727592932,0.039795928,0.156474284,0.043781286,0.031021992
1989,Alaska,AK,Alaska_1989,AK_1989,535223,282184,253039,168184,109111,224225,33704,388167,21581,83564,24593,16973,0.527226969,0.472773031,0.314231638,0.203860821,0.418937527,0.062971883,0.725243497,0.040321511,0.156129314,0.045949072,0.031712015
1990,Alaska,AK,Alaska_1990,AK_1990,550043,289867,260176,172344,109188,233245,35266,397689,22451,85698,26402,17803,0.526989708,0.473010292,0.313328231,0.198508117,0.424048665,0.064114987,0.723014383,0.040816809,0.155802365,0.047999884,0.03236656
1991,Alaska,AK,Alaska_1991,AK_1991,557732,293292,264440,174181,108297,238212,37042,398788,22385,86933,27604,18608,0.525865469,0.474134531,0.312302324,0.194173904,0.42710836,0.066415411,0.715017248,0.040135764,0.155868769,0.049493305,0.033363694
1992,Alaska,AK,Alaska_1992,AK_1992,565421,296716,268705,176019,107406,243178,38818,399887,22318,88167,28806,19413,0.524770039,0.475229961,0.311306089,0.189957571,0.430083071,0.068653269,0.707237616,0.039471473,0.155931598,0.050946109,0.034333709
1993,Alaska,AK,Alaska_1993,AK_1993,573110,300141,272969,177856,106515,248145,40594,400987,22252,89402,30008,20218,0.523705746,0.476294254,0.31033484,0.185854374,0.432979707,0.07083108,0.699668476,0.038826752,0.155994486,0.052359931,0.035277695
1994,Alaska,AK,Alaska_1994,AK_1994,580799,303565,277234,179693,105624,253111,42370,402086,22185,90636,31210,21023,0.522667911,0.477332089,0.309389307,0.181859817,0.435797927,0.072951228,0.692298024,0.03819738,0.156053988,0.053736318,0.036196688
1995,Alaska,AK,Alaska_1995,AK_1995,588488,306990,281498,181531,104734,258078,44146,403185,22119,91871,32412,21828,0.521658895,0.478341105,0.308470181,0.177971344,0.438544201,0.075015973,0.685120172,0.037586153,0.156113634,0.055076739,0.037091665
1996,Alaska,AK,Alaska_1996,AK_1996,596176,310414,285762,183368,103843,263044,45922,404285,22053,93105,33614,22632,0.520675103,0.479324897,0.307573602,0.174181785,0.441218701,0.077027589,0.678130284,0.036990754,0.156170326,0.056382679,0.037961944
1997,Alaska,AK,Alaska_1997,AK_1997,603866,313839,290027,185205,102952,268011,47698,405384,21986,94340,34816,23437,0.519716295,0.480283705,0.306698837,0.170488155,0.443825286,0.078987722,0.671314497,0.03640874,0.156226713,0.057655175,0.038811591
1998,Alaska,AK,Alaska_1998,AK_1998,611554,317263,294291,187042,102061,272977,49474,406484,21920,95574,36018,24242,0.518781661,0.481218339,0.305847072,0.166887961,0.446366143,0.080898825,0.664673929,0.035843114,0.156280557,0.058895862,0.039639999
1999,Alaska,AK,Alaska_1999,AK_1999,619244,320688,298556,188880,101170,277944,51250,407583,21853,96809,37220,25047,0.517870177,0.482129823,0.305017085,0.163376633,0.448844074,0.082762207,0.658194508,0.035289805,0.156334175,0.060105548,0.040447707
2000,Alaska,AK,Alaska_2000,AK_2000,626932,324112,302820,190717,100279,282910,53026,408682,21787,98043,38422,25852,0.516981108,0.483018892,0.304206836,0.159951957,0.451261062,0.084580146,0.651876121,0.034751775,0.156385382,0.061285753,0.041235732
2001,Alaska,AK,Alaska_2001,AK_2001,635262,328664,306598,190383,103281,293046,56811,411246,21935,98726,40244,27192,0.517367637,0.482632363,0.299692096,0.162580164,0.461299432,0.089429243,0.647364395,0.03452906,0.155409894,0.06335024,0.042804386
2002,Alaska,AK,Alaska_2002,AK_2002,643592,333215,310377,190049,106283,303182,60596,413811,22082,99409,42067,28531,0.517742607,0.482257393,0.295294224,0.165140337,0.47107795,0.094152817,0.642971013,0.034310557,0.154459658,0.065362839,0.04433088
2003,Alaska,AK,Alaska_2003,AK_2003,651922,337767,314155,189715,109285,313318,64381,416376,22230,100091,43889,29871,0.518109528,0.481890472,0.29100874,0.167635085,0.480606576,0.098755679,0.638689905,0.034099171,0.153532171,0.067322471,0.045819899
2004,Alaska,AK,Alaska_2004,AK_2004,660251,342318,317933,189381,112287,323454,68166,418940,22377,100774,45712,31211,0.518466462,0.481533538,0.286831826,0.170067141,0.489895509,0.103242555,0.634516267,0.033891656,0.152629833,0.069234276,0.047271416
2005,Alaska,AK,Alaska_2005,AK_2005,668582,346870,321712,189048,115290,333591,71951,421504,22525,101457,47534,32551,0.518814446,0.481185554,0.282759632,0.172439581,0.498953008,0.107617315,0.630444732,0.033690707,0.151749524,0.071096739,0.048686623
2006,Alaska,AK,Alaska_2006,AK_2006,676912,351422,325490,188714,118292,343727,75736,424069,22673,102140,49356,33890,0.519154632,0.480845368,0.278786607,0.174752405,0.507786832,0.111884558,0.62647582,0.033494753,0.150891105,0.072913466,0.050065592
2007,Alaska,AK,Alaska_2007,AK_2007,685241,355973,329268,188380,121294,353863,79521,426633,22820,102823,51179,35230,0.519485845,0.480514155,0.274910579,0.177009257,0.516406636,0.116048222,0.622602851,0.033302152,0.150053777,0.074687592,0.051412569
2008,Alaska,AK,Alaska_2008,AK_2008,693571,360525,333046,188046,124296,363999,83306,429198,22968,103505,53001,36570,0.519809796,0.480190204,0.271127253,0.179211645,0.524818656,0.120111712,0.618823451,0.033115571,0.149234902,0.076417555,0.052727118
2009,Alaska,AK,Alaska_2009,AK_2009,701901,365076,336825,187712,127298,374135,87091,431763,23115,104188,54824,37909,0.520124633,0.479875367,0.267433726,0.181361759,0.533031011,0.124078752,0.615133758,0.032931995,0.148436888,0.078107881,0.054009041
2010,Alaska,AK,Alaska_2010,AK_2010,710231,369628,340603,187378,130300,384271,90876,434327,23263,104871,56646,39249,0.520433493,0.479566507,0.263826839,0.183461437,0.541050729,0.127952737,0.611529207,0.032754132,0.147657593,0.079757149,0.055262302
2011,Alaska,AK,Alaska_2011,AK_2011,718561,374180,344381,187044,133302,394407,94661,436891,23411,105554,58468,40589,0.520735192,0.479264808,0.260303579,0.185512434,0.548884507,0.131736902,0.608008228,0.032580393,0.146896366,0.081368179,0.056486506
2012,Alaska,AK,Alaska_2012,AK_2012,726891,378731,348160,186710,136304,404543,98446,439456,23558,106237,60291,41928,0.5210286,0.4789714,0.25686107,0.187516423,0.556538738,0.135434336,0.604569323,0.032409261,0.146152587,0.08294366,0.057681275
2013,Alaska,AK,Alaska_2013,AK_2013,735221,383283,351938,186376,139306,414679,102231,442021,23706,106919,62113,43268,0.52131672,0.47868328,0.253496568,0.189475001,0.564019526,0.139047987,0.601208344,0.032243366,0.145424301,0.084482081,0.058850332
2014,Alaska,AK,Alaska_2014,AK_2014,743550,387834,355716,186042,142308,424815,106016,444585,23853,107602,63936,44608,0.521597741,0.478402259,0.250207787,0.191389954,0.571333468,0.142580862,0.59792213,0.032079887,0.144713873,0.085987492,0.059993276
2015,Alaska,AK,Alaska_2015,AK_2015,751881,392386,359495,185709,145311,434952,109801,447149,24001,108285,65758,45948,0.521872477,0.478127523,0.246992543,0.193263296,0.578485159,0.146035077,0.594707141,0.031921275,0.144018801,0.087457989,0.061110734
2016,Alaska,AK,Alaska_2016,AK_2016,760211,396938,363273,185375,148313,445088,113586,449714,24149,108968,67580,47287,0.522141879,0.477858121,0.243846774,0.19509452,0.585479558,0.149413781,0.59156471,0.031766181,0.143339152,0.088896372,0.062202467
2017,Alaska,AK,Alaska_2017,AK_2017,768540,401489,367051,185041,151315,455224,117371,452278,24296,109651,69403,48627,0.52240482,0.47759518,0.240769511,0.196886304,0.592323106,0.152719442,0.588489864,0.031613189,0.142674422,0.090304994,0.063271918
2018,Alaska,AK,Alaska_2018,AK_2018,776870,406041,370829,184707,154317,465360,121156,454843,24444,110333,71225,49967,0.522662736,0.477337264,0.237757926,0.198639412,0.599019141,0.155954021,0.585481483,0.031464724,0.142022475,0.091682006,0.064318354
1970,Arizona,AZ,Arizona_1970,AZ_1970,1770900,871006,899894,643975,327872,565324,233729,1340178,53344,95812,16796,264770,0.491843695,0.508156305,0.363642781,0.185144277,0.31922977,0.131983172,0.75677791,0.030122537,0.054103563,0.009484443,0.149511548
1971,Arizona,AZ,Arizona_1971,AZ_1971,1865632,917700,947932,658726,355574,597800,253532,1388119,55426,101670,17573,282363,0.491897652,0.508102348,0.353084638,0.190591714,0.320427608,0.13589604,0.744047594,0.029708967,0.054496278,0.009419328,0.151349784
1972,Arizona,AZ,Arizona_1972,AZ_1972,1960363,964393,995970,673477,383275,630275,273336,1436060,57507,107528,18349,299956,0.491946134,0.508053866,0.343547088,0.19551226,0.321509333,0.13943132,0.732548003,0.029334873,0.054851066,0.009360001,0.153010437
1973,Arizona,AZ,Arizona_1973,AZ_1973,2055095,1011087,1044008,688229,410977,662751,293139,1484001,59589,113385,19126,317549,0.491990395,0.508009605,0.334889141,0.199979563,0.322491661,0.142640121,0.722108224,0.02899574,0.055172632,0.009306626,0.154517918
1974,Arizona,AZ,Arizona_1974,AZ_1974,2149826,1057780,1092046,702980,438678,695226,312942,1531942,61670,119243,19902,335142,0.492030518,0.507969482,0.326993906,0.204052793,0.323387102,0.145566199,0.712588833,0.028686042,0.055466349,0.009257493,0.155892616
1975,Arizona,AZ,Arizona_1975,AZ_1975,2244558,1104474,1140084,717731,466380,727702,332746,1579882,63752,125101,20679,352736,0.492067481,0.507932519,0.31976496,0.207782557,0.32420726,0.148245668,0.70387221,0.028402919,0.055735249,0.00921295,0.157151653
1976,Arizona,AZ,Arizona_1976,AZ_1976,2339289,1151168,1188121,732482,494081,760177,352549,1627823,65833,130959,21456,370329,0.49210166,0.50789834,0.313121637,0.211209902,0.324960704,0.150707758,0.69586229,0.028142312,0.055982395,0.009172018,0.158308358
