,race_id,office,loc_date_id,state,abbrev,year,GOP_win,winner,rival,pred_GOP,pred_DEM,unopposed,inc_GOP_running,inc_DEM_running
481,AZ_sen_2000,AZ_sen,AZ_2000,Arizona,AZ,2000,1,Jon Kyl,William Toel,1,0,0,1,0
482,AZ_sen_2004,AZ_sen,AZ_2004,Arizona,AZ,2004,1,John McCain,Stuart Starky,1,0,0,1,0
483,AZ_sen_2006,AZ_sen,AZ_2006,Arizona,AZ,2006,1,Jon Kyl,Jim Pederson,1,0,0,1,0
484,AZ_sen_2010,AZ_sen,AZ_2010,Arizona,AZ,2010,1,John McCain,Rodney Glassman,1,0,0,1,0
485,AZ_sen_2012,AZ_sen,AZ_2012,Arizona,AZ,2012,1,Jeff Flake,Richard Carmona,1,0,0,0,0
486,AZ_sen_2016,AZ_sen,AZ_2016,Arizona,AZ,2016,1,John McCain,Ann Kirkpatrick,1,0,0,1,0
31,CA_sen_1976,CA_sen,CA_1976,California,CA,1976,1,S  I  Hayakawa,John V  Tunney,0,1,0,0,1
32,CA_sen_1980,CA_sen,CA_1980,California,CA,1980,0,Alan Cranston,Paul Gann,0,1,0,0,1
490,CA_sen_1982,CA_sen,CA_1982,California,CA,1982,1,Pete Wilson,Jerry Brown,1,0,0,0,0
35,CA_sen_1986,CA_sen,CA_1986,California,CA,1986,0,Alan Cranston,Ed Zschau,0,1,0,0,1
492,CA_sen_1988,CA_sen,CA_1988,California,CA,1988,1,Pete Wilson,Leo T  McCarthy,1,0,0,1,0
36,CA_sen2_1992,CA_sen,CA_1992,California,CA,1992,0,Barbara Boxer,Bruce Herschensohn,0,1,0,0,0
493,CA_sen_1992,CA_sen,CA_1992,California,CA,1992,0,Dianne Feinstein,John F  Seymour,1,0,0,1,0
37,CA_sen_1994,CA_sen,CA_1994,California,CA,1994,0,Dianne Feinstein,Michael Huffington,0,1,0,0,1
38,CA_sen_1998,CA_sen,CA_1998,California,CA,1998,0,Barbara Boxer,Matt Fong,0,1,0,0,1
39,CA_sen_2000,CA_sen,CA_2000,California,CA,2000,0,Dianne Feinstein,Tom Campbell,0,1,0,0,1
40,CA_sen_2004,CA_sen,CA_2004,California,CA,2004,0,Barbara Boxer,Bill Jones,0,1,0,0,1
41,CA_sen_2006,CA_sen,CA_2006,California,CA,2006,0,Dianne Feinstein,Dick Mountjoy,0,1,0,0,1
42,CA_sen_2010,CA_sen,CA_2010,California,CA,2010,0,Barbara Boxer,Carly Fiorina,0,1,0,0,1
43,CA_sen_2012,CA_sen,CA_2012,California,CA,2012,0,Dianne Feinstein,Elizabeth Emken,0,1,0,0,1
44,CA_sen_2016,CA_sen,CA_2016,California,CA,2016,0,Kamala Harris,Loretta Sanchez,0,1,0,0,0
45,CO_sen_1978,CO_sen,CO_1978,Colorado,CO,1978,1,William L  Armstrong,Floyd K  Haskell,0,1,0,0,1
46,CO_sen_1980,CO_sen,CO_1980,Colorado,CO,1980,0,Gary Hart,Mary E  Buchanan,0,1,0,0,1
494,CO_sen_1984,CO_sen,CO_1984,Colorado,CO,1984,1,William L  Armstrong,Nancy E  Dick,1,0,0,1,0
49,CO_sen_1986,CO_sen,CO_1986,Colorado,CO,1986,0,Tim Wirth,Ken Kramer,0,1,0,0,0
496,CO_sen_1990,CO_sen,CO_1990,Colorado,CO,1990,1,Hank Brown,Josie Heath,1,0,0,0,0
50,CO_sen_1992,CO_sen,CO_1992,Colorado,CO,1992,0,Ben Nighthorse Campbell,Terry Considine,0,1,0,0,0
497,CO_sen_1996,CO_sen,CO_1996,Colorado,CO,1996,1,Wayne Allard,Tom Strickland,1,0,0,0,0
498,CO_sen_1998,CO_sen,CO_1998,Colorado,CO,1998,1,Ben Nighthorse Campbell,Dottie Lamm,1,0,0,1,0
499,CO_sen2_2002,CO_sen,CO_2002,Colorado,CO,2002,1,Wayne Allard,Tom Strickland,1,0,0,1,0
502,CO_sen_2002,CO_sen,CO_2002,Colorado,CO,2002,0,Mark Udall,Bob Schaffer,1,0,0,0,0
501,CO_sen_2004,CO_sen,CO_2004,Colorado,CO,2004,0,Ken Salazar,Pete Coors,1,0,0,0,0
51,CO_sen_2010,CO_sen,CO_2010,Colorado,CO,2010,0,Michael Bennet,Ken Buck,0,1,0,0,1
52,CO_sen_2014,CO_sen,CO_2014,Colorado,CO,2014,1,Cory Gardner,Mark Udall,0,1,0,0,1
53,CO_sen_2016,CO_sen,CO_2016,Colorado,CO,2016,0,Michael Bennet,Darryl Glenn,0,1,0,0,1
503,CT_sen_1976,CT_sen,CT_1976,Connecticut,CT,1976,1,Lowell P  Weicker Jr ,Gloria Schaffer,1,0,0,1,0
54,CT_sen_1980,CT_sen,CT_1980,Connecticut,CT,1980,0,Chris Dodd,James L  Buckley,0,1,0,0,0
504,CT_sen_1982,CT_sen,CT_1982,Connecticut,CT,1982,1,Lowell Weicker,Toby Moffett,1,0,0,0,0
57,CT_sen_1986,CT_sen,CT_1986,Connecticut,CT,1986,0,Chris Dodd,Roger W  Eddy,0,1,0,0,1
