year,state,abbrev,col,combo1,combo2,total_population,total_male,total_female,age_under18,age_18to29,age_30to59,age_60over,race_white,race_black,race_natamer,race_asian,race_hispanic
1970,Alabama,AL,1,Alabama_1970,AL_1970,3444165,1661941,1782224,1233520,619880,1115478,475287,2533831,903467,2443,4424,38848
1971,Alabama,AL,1,Alabama_1971,AL_1971,3489137,1682900,1806237,1226393,640938,1133137,488670,2567777,912749,3129,5048,38293
1972,Alabama,AL,1,Alabama_1972,AL_1972,3534110,1703860,1830250,1219266,661997,1150795,502052,2601723,922030,3815,5671,37738
1973,Alabama,AL,1,Alabama_1973,AL_1973,3579082,1724819,1854263,1212138,683055,1168454,515435,2635668,931312,4501,6295,37183
1974,Alabama,AL,1,Alabama_1974,AL_1974,3624054,1745778,1878276,1205011,704113,1186112,528818,2669614,940593,5187,6918,36628
1975,Alabama,AL,1,Alabama_1975,AL_1975,3669027,1766738,1902289,1197884,725172,1203771,542201,2703560,949875,5874,7542,36074
1976,Alabama,AL,1,Alabama_1976,AL_1976,3713999,1787697,1926302,1190757,746230,1221429,555583,2737506,959157,6560,8166,35519
1977,Alabama,AL,1,Alabama_1977,AL_1977,3758971,1808656,1950315,1183630,767288,1239088,568966,2771452,968438,7246,8789,34964
1978,Alabama,AL,1,Alabama_1978,AL_1978,3803943,1829615,1974328,1176502,788346,1256746,582349,2805397,977720,7932,9413,34409
1979,Alabama,AL,1,Alabama_1979,AL_1979,3848916,1850575,1998341,1169375,809405,1274405,595731,2839343,987001,8618,10036,33854
1980,Alabama,AL,1,Alabama_1980,AL_1980,3893888,1871534,2022354,1162248,830463,1292063,609114,2873289,996283,9304,10660,33299
1981,Alabama,AL,1,Alabama_1981,AL_1981,3908558,1877997,2030561,1151902,823706,1314417,618533,2883540,998725,10024,12352,32432
1982,Alabama,AL,1,Alabama_1982,AL_1982,3923228,1884460,2038768,1141556,816950,1336771,627951,2893791,1001167,10744,14044,31565
1983,Alabama,AL,1,Alabama_1983,AL_1983,3937897,1890922,2046975,1131210,810193,1359125,637370,2904041,1003610,11465,15736,30698
1984,Alabama,AL,1,Alabama_1984,AL_1984,3952567,1897385,2055182,1120864,803437,1381479,646788,2914292,1006052,12185,17428,29831
1985,Alabama,AL,1,Alabama_1985,AL_1985,3967238,1903848,2063390,1110518,796680,1403833,656207,2924543,1008494,12905,19120,28964
1986,Alabama,AL,1,Alabama_1986,AL_1986,3981908,1910311,2071597,1100172,789923,1426187,665625,2934794,1010936,13625,20811,28097
1987,Alabama,AL,1,Alabama_1987,AL_1987,3996578,1916774,2079804,1089826,783167,1448541,675044,2945045,1013378,14345,22503,27230
1988,Alabama,AL,1,Alabama_1988,AL_1988,4011247,1923236,2088011,1079480,776410,1470895,684462,2955295,1015821,15066,24195,26363
1989,Alabama,AL,1,Alabama_1989,AL_1989,4025917,1929699,2096218,1069134,769654,1493249,693881,2965546,1018263,15786,25887,25496
1990,Alabama,AL,1,Alabama_1990,AL_1990,4040587,1936162,2104425,1058788,762897,1515603,703299,2975797,1020705,16506,27579,24629
1991,Alabama,AL,1,Alabama_1991,AL_1991,4081238,1957196,2124042,1065251,760688,1545342,709957,2994498,1034228,17098,30996,29749
1992,Alabama,AL,1,Alabama_1992,AL_1992,4121889,1978230,2143659,1071715,758479,1575080,716615,3013199,1047750,17691,34414,34869
1993,Alabama,AL,1,Alabama_1993,AL_1993,4162541,1999265,2163276,1078178,756270,1604819,723273,3031900,1061273,18283,37831,39989
1994,Alabama,AL,1,Alabama_1994,AL_1994,4203192,2020299,2182893,1084642,754061,1634558,729931,3050601,1074795,18876,41249,45109
1995,Alabama,AL,1,Alabama_1995,AL_1995,4243844,2041333,2202511,1091105,751853,1664297,736590,3069303,1088318,19468,44666,50230
1996,Alabama,AL,1,Alabama_1996,AL_1996,4284495,2062367,2222128,1097568,749644,1694035,743248,3088004,1101840,20060,48083,55350
1997,Alabama,AL,1,Alabama_1997,AL_1997,4325146,2083401,2241745,1104032,747435,1723774,749906,3106705,1115363,20653,51501,60470
1998,Alabama,AL,1,Alabama_1998,AL_1998,4365798,2104436,2261362,1110495,745226,1753513,756564,3125406,1128885,21245,54918,65590
1999,Alabama,AL,1,Alabama_1999,AL_1999,4406449,2125470,2280979,1116959,743017,1783251,763222,3144107,1142408,21838,58336,70710
2000,Alabama,AL,1,Alabama_2000,AL_2000,4447100,2146504,2300596,1123422,740808,1812990,769880,3162808,1155930,22430,61753,75830
2001,Alabama,AL,1,Alabama_2001,AL_2001,4480363,2163872,2316491,1124326,745748,1873238,786284,3174067,1165468,23009,70934,86807
2002,Alabama,AL,1,Alabama_2002,AL_2002,4513627,2181241,2332386,1125229,750688,1933486,802688,3185325,1175006,23588,80115,97784
2003,Alabama,AL,1,Alabama_2003,AL_2003,4546891,2198609,2348282,1126133,755628,1993734,819092,3196584,1184544,24166,89296,108762
2004,Alabama,AL,1,Alabama_2004,AL_2004,4580155,2215978,2364177,1127037,760568,2053982,835496,3207842,1194082,24745,98477,119739
2005,Alabama,AL,1,Alabama_2005,AL_2005,4613418,2233346,2380072,1127941,765509,2114230,851900,3219101,1203621,25324,107658,130716
2006,Alabama,AL,1,Alabama_2006,AL_2006,4646681,2250714,2395967,1128844,770449,2174478,868303,3230360,1213159,25903,116838,141693
2007,Alabama,AL,1,Alabama_2007,AL_2007,4679945,2268083,2411862,1129748,775389,2234726,884707,3241618,1222697,26482,126019,152670
2008,Alabama,AL,1,Alabama_2008,AL_2008,4713209,2285451,2427758,1130652,780329,2294974,901111,3252877,1232235,27060,135200,163648
2009,Alabama,AL,1,Alabama_2009,AL_2009,4746473,2302820,2443653,1131555,785269,2355222,917515,3264135,1241773,27639,144381,174625
2010,Alabama,AL,1,Alabama_2010,AL_2010,4779736,2320188,2459548,1132459,790209,2415470,933919,3275394,1251311,28218,153562,185602
2011,Alabama,AL,1,Alabama_2011,AL_2011,4812999,2337556,2475443,1133363,795149,2475718,950323,3286653,1260849,28797,162743,196579
2012,Alabama,AL,1,Alabama_2012,AL_2012,4846263,2354925,2491338,1134266,800089,2535966,966727,3297911,1270387,29376,171924,207556
2013,Alabama,AL,1,Alabama_2013,AL_2013,4879527,2372293,2507234,1135170,805029,2596214,983131,3309170,1279925,29954,181105,218534
2014,Alabama,AL,1,Alabama_2014,AL_2014,4912791,2389662,2523129,1136074,809969,2656462,999535,3320428,1289463,30533,190286,229511
2015,Alabama,AL,1,Alabama_2015,AL_2015,4946054,2407030,2539024,1136978,814910,2716710,1015939,3331687,1299002,31112,199467,240488
2016,Alabama,AL,1,Alabama_2016,AL_2016,4979317,2424398,2554919,1137881,819850,2776958,1032342,3342946,1308540,31691,208647,251465
2017,Alabama,AL,1,Alabama_2017,AL_2017,5012581,2441767,2570814,1138785,824790,2837206,1048746,3354204,1318078,32270,217828,262442
2018,Alabama,AL,1,Alabama_2018,AL_2018,5045845,2459135,2586710,1139689,829730,2897454,1065150,3365463,1327616,32848,227009,273420
1970,Alaska,AK,2,Alaska_1970,AK_1970,300382,163258,137124,119859,72228,96098,12197,236767,8911,16276,38428,4598
1971,Alaska,AK,2,Alaska_1971,AK_1971,310529,168236,142293,120948,75847,100793,12942,244287,9395,21084,35417,5089
1972,Alaska,AK,2,Alaska_1972,AK_1972,320676,173215,147461,122036,79466,105487,13686,251807,9878,25892,32405,5580
1973,Alaska,AK,2,Alaska_1973,AK_1973,330823,178193,152630,123125,83085,110182,14431,259327,10362,30700,29394,6071
1974,Alaska,AK,2,Alaska_1974,AK_1974,340969,183171,157798,124213,86704,114877,15175,266847,10846,35508,26382,6562
1975,Alaska,AK,2,Alaska_1975,AK_1975,351117,188150,162967,125302,90323,119572,15920,274368,11330,40317,23371,7053
1976,Alaska,AK,2,Alaska_1976,AK_1976,361264,193128,168136,126391,93942,124266,16665,281888,11813,45125,20360,7543
1977,Alaska,AK,2,Alaska_1977,AK_1977,371410,198106,173304,127479,97561,128961,17409,289408,12297,49933,17348,8034
1978,Alaska,AK,2,Alaska_1978,AK_1978,381557,203084,178473,128568,101180,133656,18154,296928,12781,54741,14337,8525
1979,Alaska,AK,2,Alaska_1979,AK_1979,391704,208063,183641,129656,104799,138350,18898,304448,13264,59549,11325,9016
1980,Alaska,AK,2,Alaska_1980,AK_1980,401851,213041,188810,130745,108418,143045,19643,311968,13748,64357,8314,9507
1981,Alaska,AK,2,Alaska_1981,AK_1981,416671,220724,195947,134905,108495,152065,21205,322320,14618,66491,10123,10337
1982,Alaska,AK,2,Alaska_1982,AK_1982,431489,228406,203083,139065,108572,161085,22768,332673,15489,68625,11932,11166
1983,Alaska,AK,2,Alaska_1983,AK_1983,446309,236089,210220,143225,108649,170105,24330,343025,16359,70759,13740,11996
1984,Alaska,AK,2,Alaska_1984,AK_1984,461127,243771,217356,147385,108726,179125,25892,353378,17229,72893,15549,12825
1985,Alaska,AK,2,Alaska_1985,AK_1985,475947,251454,224493,151545,108803,188145,27455,363730,18100,75028,17358,13655
1986,Alaska,AK,2,Alaska_1986,AK_1986,490767,259137,231630,155704,108880,197165,29017,374082,18970,77162,19167,14485
1987,Alaska,AK,2,Alaska_1987,AK_1987,505585,266819,238766,159864,108957,206185,30579,384435,19840,79296,20976,15314
1988,Alaska,AK,2,Alaska_1988,AK_1988,520405,274502,245903,164024,109034,215205,32141,394787,20710,81430,22784,16144
1989,Alaska,AK,2,Alaska_1989,AK_1989,535223,282184,253039,168184,109111,224225,33704,405140,21581,83564,24593,16973
1990,Alaska,AK,2,Alaska_1990,AK_1990,550043,289867,260176,172344,109188,233245,35266,415492,22451,85698,26402,17803
1991,Alaska,AK,2,Alaska_1991,AK_1991,557732,293292,264440,174181,108297,238212,37042,417396,22385,86933,27604,18608
1992,Alaska,AK,2,Alaska_1992,AK_1992,565421,296716,268705,176019,107406,243178,38818,419300,22318,88167,28806,19413
1993,Alaska,AK,2,Alaska_1993,AK_1993,573110,300141,272969,177856,106515,248145,40594,421205,22252,89402,30008,20218
1994,Alaska,AK,2,Alaska_1994,AK_1994,580799,303565,277234,179693,105624,253111,42370,423109,22185,90636,31210,21023
1995,Alaska,AK,2,Alaska_1995,AK_1995,588488,306990,281498,181531,104734,258078,44146,425013,22119,91871,32412,21828
1996,Alaska,AK,2,Alaska_1996,AK_1996,596176,310414,285762,183368,103843,263044,45922,426917,22053,93105,33614,22632
1997,Alaska,AK,2,Alaska_1997,AK_1997,603866,313839,290027,185205,102952,268011,47698,428821,21986,94340,34816,23437
1998,Alaska,AK,2,Alaska_1998,AK_1998,611554,317263,294291,187042,102061,272977,49474,430726,21920,95574,36018,24242
1999,Alaska,AK,2,Alaska_1999,AK_1999,619244,320688,298556,188880,101170,277944,51250,432630,21853,96809,37220,25047
2000,Alaska,AK,2,Alaska_2000,AK_2000,626932,324112,302820,190717,100279,282910,53026,434534,21787,98043,38422,25852
2001,Alaska,AK,2,Alaska_2001,AK_2001,635262,328664,306598,190383,103281,293046,56811,438438,21935,98726,40244,27192
2002,Alaska,AK,2,Alaska_2002,AK_2002,643592,333215,310377,190049,106283,303182,60596,442342,22082,99409,42067,28531
2003,Alaska,AK,2,Alaska_2003,AK_2003,651922,337767,314155,189715,109285,313318,64381,446247,22230,100091,43889,29871
2004,Alaska,AK,2,Alaska_2004,AK_2004,660251,342318,317933,189381,112287,323454,68166,450151,22377,100774,45712,31211
2005,Alaska,AK,2,Alaska_2005,AK_2005,668582,346870,321712,189048,115290,333591,71951,454055,22525,101457,47534,32551
2006,Alaska,AK,2,Alaska_2006,AK_2006,676912,351422,325490,188714,118292,343727,75736,457959,22673,102140,49356,33890
2007,Alaska,AK,2,Alaska_2007,AK_2007,685241,355973,329268,188380,121294,353863,79521,461863,22820,102823,51179,35230
2008,Alaska,AK,2,Alaska_2008,AK_2008,693571,360525,333046,188046,124296,363999,83306,465768,22968,103505,53001,36570
2009,Alaska,AK,2,Alaska_2009,AK_2009,701901,365076,336825,187712,127298,374135,87091,469672,23115,104188,54824,37909
2010,Alaska,AK,2,Alaska_2010,AK_2010,710231,369628,340603,187378,130300,384271,90876,473576,23263,104871,56646,39249
2011,Alaska,AK,2,Alaska_2011,AK_2011,718561,374180,344381,187044,133302,394407,94661,477480,23411,105554,58468,40589
2012,Alaska,AK,2,Alaska_2012,AK_2012,726891,378731,348160,186710,136304,404543,98446,481384,23558,106237,60291,41928
2013,Alaska,AK,2,Alaska_2013,AK_2013,735221,383283,351938,186376,139306,414679,102231,485289,23706,106919,62113,43268
2014,Alaska,AK,2,Alaska_2014,AK_2014,743550,387834,355716,186042,142308,424815,106016,489193,23853,107602,63936,44608
2015,Alaska,AK,2,Alaska_2015,AK_2015,751881,392386,359495,185709,145311,434952,109801,493097,24001,108285,65758,45948
2016,Alaska,AK,2,Alaska_2016,AK_2016,760211,396938,363273,185375,148313,445088,113586,497001,24149,108968,67580,47287
2017,Alaska,AK,2,Alaska_2017,AK_2017,768540,401489,367051,185041,151315,455224,117371,500905,24296,109651,69403,48627
2018,Alaska,AK,2,Alaska_2018,AK_2018,776870,406041,370829,184707,154317,465360,121156,504810,24444,110333,71225,49967
1970,Arizona,AZ,3,Arizona_1970,AZ_1970,1770900,871006,899894,643975,327872,565324,233729,1604948,53344,95812,16796,264770
1971,Arizona,AZ,3,Arizona_1971,AZ_1971,1865632,917700,947932,658726,355574,597800,253532,1670482,55426,101670,17573,282363
1972,Arizona,AZ,3,Arizona_1972,AZ_1972,1960363,964393,995970,673477,383275,630275,273336,1736016,57507,107528,18349,299956
1973,Arizona,AZ,3,Arizona_1973,AZ_1973,2055095,1011087,1044008,688229,410977,662751,293139,1801550,59589,113385,19126,317549
1974,Arizona,AZ,3,Arizona_1974,AZ_1974,2149826,1057780,1092046,702980,438678,695226,312942,1867084,61670,119243,19902,335142
1975,Arizona,AZ,3,Arizona_1975,AZ_1975,2244558,1104474,1140084,717731,466380,727702,332746,1932618,63752,125101,20679,352736
1976,Arizona,AZ,3,Arizona_1976,AZ_1976,2339289,1151168,1188121,732482,494081,760177,352549,1998152,65833,130959,21456,370329
1977,Arizona,AZ,3,Arizona_1977,AZ_1977,2434020,1197861,1236159,747233,521783,792653,372352,2063686,67915,136817,22232,387922
1978,Arizona,AZ,3,Arizona_1978,AZ_1978,2528752,1244555,1284197,761985,549484,825128,392155,2129220,69996,142674,23009,405515
1979,Arizona,AZ,3,Arizona_1979,AZ_1979,2623483,1291248,1332235,776736,577186,857604,411959,2194754,72078,148532,23785,423108
1980,Arizona,AZ,3,Arizona_1980,AZ_1980,2718215,1337942,1380273,791487,604887,890079,431762,2260288,74159,154390,24562,440701
1981,Arizona,AZ,3,Arizona_1981,AZ_1981,2812916,1385217,1427699,810450,615471,935244,451751,2330578,77796,159304,60905,465465
1982,Arizona,AZ,3,Arizona_1982,AZ_1982,2907618,1432492,1475126,829413,626055,980410,471739,2400868,81432,164217,97248,490228
1983,Arizona,AZ,3,Arizona_1983,AZ_1983,3002319,1479767,1522552,848377,636639,1025575,491728,2471157,85069,169131,133591,514992
1984,Arizona,AZ,3,Arizona_1984,AZ_1984,3097021,1527042,1569979,867340,647223,1070741,511716,2541447,88705,174045,169934,539756
1985,Arizona,AZ,3,Arizona_1985,AZ_1985,3191722,1574317,1617405,886303,657808,1115906,531705,2611737,92342,178959,206277,564520
1986,Arizona,AZ,3,Arizona_1986,AZ_1986,3286422,1621591,1664831,905266,668392,1161071,551694,2682027,95978,183872,242619,589283
1987,Arizona,AZ,3,Arizona_1987,AZ_1987,3381124,1668866,1712258,924229,678976,1206237,571682,2752317,99615,188786,278962,614047
1988,Arizona,AZ,3,Arizona_1988,AZ_1988,3475825,1716141,1759684,943193,689560,1251402,591671,2822606,103251,193700,315305,638811
1989,Arizona,AZ,3,Arizona_1989,AZ_1989,3570527,1763416,1807111,962156,700144,1296568,611659,2892896,106888,198613,351648,663574
1990,Arizona,AZ,3,Arizona_1990,AZ_1990,3665228,1810691,1854537,981119,710728,1341733,631648,2963186,110524,203527,387991,688338
1991,Arizona,AZ,3,Arizona_1991,AZ_1991,3811769,1885728,1926041,1019702,728476,1407954,655637,3054229,115359,208762,418766,749066
1992,Arizona,AZ,3,Arizona_1992,AZ_1992,3958309,1960764,1997545,1058285,746224,1474175,679626,3145271,120194,213997,449541,809794
1993,Arizona,AZ,3,Arizona_1993,AZ_1993,4104849,2035801,2069048,1096867,763972,1540396,703614,3236314,125029,219233,480317,870522
1994,Arizona,AZ,3,Arizona_1994,AZ_1994,4251389,2110837,2140552,1135450,781720,1606617,727603,3327356,129864,224468,511092,931250
1995,Arizona,AZ,3,Arizona_1995,AZ_1995,4397930,2185874,2212056,1174033,799468,1672838,751592,3418399,134699,229703,541867,991978
1996,Arizona,AZ,3,Arizona_1996,AZ_1996,4544471,2260911,2283560,1212616,817215,1739058,775581,3509441,139533,234938,572642,1052705
1997,Arizona,AZ,3,Arizona_1997,AZ_1997,4691011,2335947,2355064,1251199,834963,1805279,799570,3600484,144368,240173,603417,1113433
1998,Arizona,AZ,3,Arizona_1998,AZ_1998,4837551,2410984,2426567,1289781,852711,1871500,823558,3691526,149203,245409,634193,1174161
1999,Arizona,AZ,3,Arizona_1999,AZ_1999,4984091,2486020,2498071,1328364,870459,1937721,847547,3782569,154038,250644,664968,1234889
2000,Arizona,AZ,3,Arizona_2000,AZ_2000,5130632,2561057,2569575,1366947,888207,2003942,871536,3873611,158873,255879,695743,1295617
2001,Arizona,AZ,3,Arizona_2001,AZ_2001,5256771,2622534,2634237,1393154,906707,2114900,907662,3952962,168887,259944,721275,1355570
2002,Arizona,AZ,3,Arizona_2002,AZ_2002,5382909,2684010,2698899,1419360,925207,2225857,943787,4032313,178900,264009,746806,1415523
2003,Arizona,AZ,3,Arizona_2003,AZ_2003,5509048,2745487,2763561,1445567,943708,2336815,979913,4111664,188914,268074,772338,1475477
2004,Arizona,AZ,3,Arizona_2004,AZ_2004,5635186,2806963,2828223,1471774,962208,2447772,1016038,4191015,198927,272139,797869,1535430
2005,Arizona,AZ,3,Arizona_2005,AZ_2005,5761325,2868440,2892885,1497981,980708,2558730,1052164,4270366,208941,276204,823401,1595383
2006,Arizona,AZ,3,Arizona_2006,AZ_2006,5887463,2929917,2957546,1524187,999208,2669687,1088289,4349717,218954,280269,848933,1655336
2007,Arizona,AZ,3,Arizona_2007,AZ_2007,6013601,2991393,3022208,1550394,1017708,2780645,1124415,4429068,228968,284334,874464,1715289
2008,Arizona,AZ,3,Arizona_2008,AZ_2008,6139740,3052870,3086870,1576601,1036209,2891602,1160540,4508419,238981,288399,899996,1775243
2009,Arizona,AZ,3,Arizona_2009,AZ_2009,6265878,3114346,3151532,1602807,1054709,3002560,1196666,4587770,248995,292464,925527,1835196
2010,Arizona,AZ,3,Arizona_2010,AZ_2010,6392017,3175823,3216194,1629014,1073209,3113517,1232791,4667121,259008,296529,951059,1895149
2011,Arizona,AZ,3,Arizona_2011,AZ_2011,6518156,3237300,3280856,1655221,1091709,3224475,1268917,4746472,269022,300594,976591,1955102
2012,Arizona,AZ,3,Arizona_2012,AZ_2012,6644294,3298776,3345518,1681427,1110209,3335432,1305042,4825823,279035,304659,1002122,2015055
2013,Arizona,AZ,3,Arizona_2013,AZ_2013,6770433,3360253,3410180,1707634,1128710,3446390,1341168,4905174,289049,308724,1027654,2075009
2014,Arizona,AZ,3,Arizona_2014,AZ_2014,6896571,3421729,3474842,1733841,1147210,3557347,1377293,4984525,299062,312789,1053185,2134962
2015,Arizona,AZ,3,Arizona_2015,AZ_2015,7022710,3483206,3539504,1760048,1165710,3668305,1413419,5063876,309076,316854,1078717,2194915
2016,Arizona,AZ,3,Arizona_2016,AZ_2016,7148848,3544683,3604165,1786254,1184210,3779262,1449544,5143227,319089,320919,1104249,2254868
2017,Arizona,AZ,3,Arizona_2017,AZ_2017,7274986,3606159,3668827,1812461,1202710,3890220,1485670,5222578,329103,324984,1129780,2314821
2018,Arizona,AZ,3,Arizona_2018,AZ_2018,7401125,3667636,3733489,1838668,1221211,4001177,1521795,5301929,339116,329049,1155312,2374775
1970,Arkansas,AR,4,Arkansas_1970,AR_1970,1923295,932310,990985,655010,326844,606285,335156,1565915,352445,2014,2921,24358
1971,Arkansas,AR,4,Arkansas_1971,AR_1971,1959609,949548,1010061,656646,339407,619634,343921,1598317,354503,3088,3352,23713
1972,Arkansas,AR,4,Arkansas_1972,AR_1972,1995923,966786,1029137,658283,351971,632983,352686,1630719,356561,4163,3783,23067
1973,Arkansas,AR,4,Arkansas_1973,AR_1973,2032237,984023,1048214,659919,364534,646332,361452,1663121,358619,5237,4214,22422
1974,Arkansas,AR,4,Arkansas_1974,AR_1974,2068551,1001261,1067290,661556,377098,659681,370217,1695523,360677,6311,4645,21776
1975,Arkansas,AR,4,Arkansas_1975,AR_1975,2104865,1018499,1086366,663192,389661,673030,378982,1727925,362735,7386,5077,21131
1976,Arkansas,AR,4,Arkansas_1976,AR_1976,2141179,1035737,1105442,664828,402224,686379,387747,1760327,364793,8460,5508,20486
1977,Arkansas,AR,4,Arkansas_1977,AR_1977,2177493,1052975,1124518,666465,414788,699728,396512,1792729,366851,9534,5939,19840
1978,Arkansas,AR,4,Arkansas_1978,AR_1978,2213807,1070212,1143595,668101,427351,713077,405278,1825131,368909,10608,6370,19195
1979,Arkansas,AR,4,Arkansas_1979,AR_1979,2250121,1087450,1162671,669738,439915,726426,414043,1857533,370967,11683,6801,18549
1980,Arkansas,AR,4,Arkansas_1980,AR_1980,2286435,1104688,1181747,671374,452478,739775,422808,1889935,373025,12757,7232,17904
1981,Arkansas,AR,4,Arkansas_1981,AR_1981,2292864,1107527,1185337,666350,448839,751384,426291,1895416,373114,12759,8438,18101
1982,Arkansas,AR,4,Arkansas_1982,AR_1982,2299293,1110366,1188927,661325,445201,762992,429775,1900897,373202,12760,9645,18298
1983,Arkansas,AR,4,Arkansas_1983,AR_1983,2305722,1113204,1192518,656301,441562,774601,433258,1906378,373291,12762,10851,18496
1984,Arkansas,AR,4,Arkansas_1984,AR_1984,2312151,1116043,1196108,651277,437924,786209,436742,1911859,373380,12763,12058,18693
1985,Arkansas,AR,4,Arkansas_1985,AR_1985,2318580,1118882,1199698,646253,434285,797818,440225,1917340,373469,12765,13264,18890
1986,Arkansas,AR,4,Arkansas_1986,AR_1986,2325009,1121721,1203288,641228,430646,809426,443708,1922820,373557,12767,14470,19087
1987,Arkansas,AR,4,Arkansas_1987,AR_1987,2331438,1124560,1206878,636204,427008,821035,447192,1928301,373646,12768,15677,19284
1988,Arkansas,AR,4,Arkansas_1988,AR_1988,2337867,1127398,1210469,631180,423369,832643,450675,1933782,373735,12770,16883,19482
1989,Arkansas,AR,4,Arkansas_1989,AR_1989,2344296,1130237,1214059,626155,419731,844252,454159,1939263,373823,12771,18090,19679
1990,Arkansas,AR,4,Arkansas_1990,AR_1990,2350725,1133076,1217649,621131,416092,855860,457642,1944744,373912,12773,19296,19876
1991,Arkansas,AR,4,Arkansas_1991,AR_1991,2382993,1150238,1232755,627055,418324,876595,461019,1964129,378416,13277,23596,26575
1992,Arkansas,AR,4,Arkansas_1992,AR_1992,2415260,1167399,1247861,632979,420556,897330,464395,1983515,382920,13780,27897,33274
1993,Arkansas,AR,4,Arkansas_1993,AR_1993,2447527,1184561,1262966,638902,422788,918065,467772,2002900,387423,14284,32197,39973
1994,Arkansas,AR,4,Arkansas_1994,AR_1994,2479795,1201723,1278072,644826,425020,938800,471149,2022286,391927,14787,36498,46672
1995,Arkansas,AR,4,Arkansas_1995,AR_1995,2512063,1218885,1293178,650750,427252,959535,474526,2041671,396431,15291,40798,53371
1996,Arkansas,AR,4,Arkansas_1996,AR_1996,2544330,1236046,1308284,656674,429484,980270,477902,2061056,400935,15794,45098,60070
1997,Arkansas,AR,4,Arkansas_1997,AR_1997,2576598,1253208,1323390,662598,431716,1001005,481279,2080442,405439,16298,49399,66769
1998,Arkansas,AR,4,Arkansas_1998,AR_1998,2608865,1270370,1338495,668521,433948,1021740,484656,2099827,409942,16801,53699,73468
1999,Arkansas,AR,4,Arkansas_1999,AR_1999,2641132,1287531,1353601,674445,436180,1042475,488032,2119213,414446,17305,58000,80167
2000,Arkansas,AR,4,Arkansas_2000,AR_2000,2673400,1304693,1368707,680369,438412,1063210,491409,2138598,418950,17808,62300,86866
2001,Arkansas,AR,4,Arkansas_2001,AR_2001,2697651,1317387,1380264,683480,442197,1100258,500969,2149261,422045,18252,70224,96784
2002,Arkansas,AR,4,Arkansas_2002,AR_2002,2721904,1330082,1391822,686590,445981,1137306,510530,2159924,425139,18696,78147,106703
2003,Arkansas,AR,4,Arkansas_2003,AR_2003,2746155,1342776,1403379,689701,449766,1174355,520090,2170587,428234,19140,86071,116621
2004,Arkansas,AR,4,Arkansas_2004,AR_2004,2770408,1355471,1414937,692811,453550,1211403,529650,2181250,431328,19584,93994,126540
2005,Arkansas,AR,4,Arkansas_2005,AR_2005,2794659,1368165,1426494,695922,457335,1248451,539211,2191914,434423,20028,101918,136458
2006,Arkansas,AR,4,Arkansas_2006,AR_2006,2818910,1380859,1438051,699033,461120,1285499,548771,2202577,437517,20472,109842,146376
2007,Arkansas,AR,4,Arkansas_2007,AR_2007,2843163,1393554,1449609,702143,464904,1322547,558331,2213240,440612,20916,117765,156295
2008,Arkansas,AR,4,Arkansas_2008,AR_2008,2867414,1406248,1461166,705254,468689,1359596,567891,2223903,443706,21360,125689,166213
2009,Arkansas,AR,4,Arkansas_2009,AR_2009,2891667,1418943,1472724,708364,472473,1396644,577452,2234566,446801,21804,133612,176132
2010,Arkansas,AR,4,Arkansas_2010,AR_2010,2915918,1431637,1484281,711475,476258,1433692,587012,2245229,449895,22248,141536,186050
2011,Arkansas,AR,4,Arkansas_2011,AR_2011,2940169,1444331,1495838,714586,480043,1470740,596572,2255892,452990,22692,149460,195968
2012,Arkansas,AR,4,Arkansas_2012,AR_2012,2964422,1457026,1507396,717696,483827,1507788,606133,2266555,456084,23136,157383,205887
2013,Arkansas,AR,4,Arkansas_2013,AR_2013,2988673,1469720,1518953,720807,487612,1544837,615693,2277218,459179,23580,165307,215805
2014,Arkansas,AR,4,Arkansas_2014,AR_2014,3012926,1482415,1530511,723917,491396,1581885,625253,2287881,462273,24024,173230,225724
2015,Arkansas,AR,4,Arkansas_2015,AR_2015,3037177,1495109,1542068,727028,495181,1618933,634814,2298545,465368,24468,181154,235642
2016,Arkansas,AR,4,Arkansas_2016,AR_2016,3061428,1507803,1553625,730139,498966,1655981,644374,2309208,468462,24912,189078,245560
2017,Arkansas,AR,4,Arkansas_2017,AR_2017,3085681,1520498,1565183,733249,502750,1693029,653934,2319871,471557,25356,197001,255479
2018,Arkansas,AR,4,Arkansas_2018,AR_2018,3109932,1533192,1576740,736360,506535,1730078,663494,2330534,474651,25800,204925,265397
1970,California,CA,5,California_1970,CA_1970,19953134,9816685,10136449,6635972,3904478,6840937,2571747,17761032,1400143,91018,700941,2369292
1971,California,CA,5,California_1971,CA_1971,20324611,10001665,10322946,6611271,4062551,6995550,2655240,17807064,1441995,105086,762144,2586796
1972,California,CA,5,California_1972,CA_1972,20696088,10186645,10509443,6586569,4220623,7150162,2738733,17853096,1483846,119155,823347,2804300
1973,California,CA,5,California_1973,CA_1973,21067564,10371625,10695939,6561868,4378696,7304775,2822226,17899128,1525698,133223,884551,3021804
1974,California,CA,5,California_1974,CA_1974,21439041,10556605,10882436,6537166,4536768,7459387,2905719,17945160,1567550,147292,945754,3239308
1975,California,CA,5,California_1975,CA_1975,21810518,10741585,11068933,6512465,4694841,7614000,2989213,17991193,1609402,161360,1006957,3456812
1976,California,CA,5,California_1976,CA_1976,22181995,10926565,11255430,6487764,4852913,7768613,3072706,18037225,1651253,175428,1068160,3674315
